Car_ID,Car_MakeName,Car_Model,Car_Series,Car_SeriesYear,Car_PriceNew,Car_EngineSize,Car_FuelSystem,Car_TankCapacity,Car_Power,Car_SeatingCapacity,Car_StandardTransmission,Car_BodyType,Car_Drive,Car_Wheelbase
14806,LAND ROVER,DISCOVERY 3,HSE,2006.0,83650.0,2.7L,DIESEL TURBO F/INJ,82L,140Kw,7.0,6A,4D WAGON,4WD,2885mm
14810,LAND ROVER,DISCOVERY,Tdi 4x4,1996.0,51800.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,4A4x4,4D WAGON,4WD,2540mm
14811,LAND ROVER,FREELANDER,XEi 4x4,2000.0,34886.0,1.8L,MULTI POINT F/INJ,59L,84Kw,5.0,5M4x4,3D HARDBACK,4WD,2535mm
14812,LAND ROVER,DISCOVERY,ES V8 4x4,1999.0,66000.0,4.0L,MULTI POINT F/INJ,95L,132Kw,7.0,4A,4D WAGON,4WD,2540mm
14813,LAND ROVER,DISCOVERY,Tdi 4x4,1994.0,50430.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,4A4x4,4D WAGON,4WD,2540mm
14814,LAND ROVER,DISCOVERY,SERIES II SE 4x4,2004.0,71450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
14815,LAND ROVER,(4x4),SWB,1978.0,9045.0,2.3L,DIESEL,45L,46Kw,8.0,4M4x4,2D HARDTOP,4WD,2230mm
14816,LAND ROVER,DISCOVERY,SERIES II S 4x4,2003.0,55450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
14817,LAND ROVER,DISCOVERY,SERIES II,2003.0,51950.0,2.5L,DIESEL TURBO F/INJ,93L,101Kw,5.0,5M,4D WAGON,4WD,2540mm
14818,LAND ROVER,DISCOVERY,S 4x4,1998.0,39990.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,5M4x4,4D WAGON,4WD,2540mm
14819,LAND ROVER,(4x4),LWB,1972.0,5203.0,2.3L,DIESEL,73L,46Kw,12.0,4M4x4,2D HARDTOP,4WD,2768mm
14831,BMW,X5,E53 3.0d,2004.0,84500.0,3.0L,TURBO CDI,93L,150Kw,5.0,6A,4D WAGON,4WD,2820mm
14832,BMW,3,E46 18i EXECUTIVE,2002.0,56550.0,2.0L,MULTI POINT F/INJ,63L,105Kw,5.0,5AS,4D SEDAN,RWD,2725mm
14833,BMW,3,23i,1996.0,62550.0,2.5L,MULTI POINT F/INJ,62L,125Kw,5.0,5M,4D SEDAN,RWD,2700mm
14834,BMW,3,E46 30Ci,2001.0,109050.0,3.0L,MULTI POINT F/INJ,63L,170Kw,5.0,5AS,2D CONVERTIBLE,RWD,2725mm
14835,BMW,7,35i EXECUTIVE,1987.0,136500.0,3.4L,ELECTRONIC F/INJ,90L,155Kw,5.0,4A,4D SEDAN,RWD,2833mm
14836,BMW,5,E60 25i,2005.0,89000.0,2.5L,MULTI POINT F/INJ,70L,141Kw,5.0,6AS,4D SEDAN,RWD,2888mm
14837,BMW,3,E91 23i TOURING,2006.0,71500.0,2.5L,MULTI POINT F/INJ,60L,130Kw,5.0,6AS,4D WAGON,RWD,2760mm
14838,BMW,5,E34 25i EXECUTIVE,1996.0,98200.0,2.5L,ELECTRONIC F/INJ,80L,141Kw,5.0,5A,4D SEDAN,RWD,2761mm
14839,BMW,3,E36 16i OPEN AIR,1995.0,46200.0,1.6L,MULTI POINT F/INJ,52L,75Kw,5.0,5M,3D HATCHBACK,RWD,2700mm
14842,BMW,3,E90 20i EXECUTIVE,2005.0,57200.0,2.0L,MULTI POINT F/INJ,65L,110Kw,5.0,6AS,4D SEDAN,RWD,2760mm
14843,BMW,3,E46 30i,2001.0,90700.0,3.0L,MULTI POINT F/INJ,63L,170Kw,5.0,5AS,4D SEDAN,RWD,2725mm
14846,BMW,X5,E53 3.0i,2004.0,84000.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
14847,BMW,3,18is,1998.0,56600.0,1.9L,MULTI POINT F/INJ,65L,103Kw,5.0,4A,4D SEDAN,RWD,2700mm
14850,BMW,7,35i,1984.0,59500.0,3.2L,ELECTRONIC F/INJ,100L,145Kw,5.0,4A,4D SEDAN,RWD,2795mm
14851,BMW,3,E46 20i SPORT,2005.0,65300.0,2.2L,MULTI POINT F/INJ,63L,125Kw,5.0,5AS,4D SEDAN,RWD,2725mm
14852,BMW,3,E46 16ti,2002.0,43869.0,1.8L,MULTI POINT F/INJ,63L,85Kw,5.0,5AS,3D HATCHBACK,RWD,2725mm
14853,BMW,1,E87 20i,2005.0,44100.0,2.0L,MULTI POINT F/INJ,50L,110Kw,5.0,6A,5D HATCHBACK,RWD,2660mm
14854,BMW,3,20i,1989.0,54700.0,2.0L,ELECTRONIC F/INJ,65L,95Kw,5.0,5M,4D SEDAN,RWD,2570mm
14855,BMW,3,E46 20Ci,2001.0,67050.0,2.2L,MULTI POINT F/INJ,63L,125Kw,5.0,5AS,2D COUPE,RWD,2725mm
14856,BMW,3,25i,1988.0,74500.0,2.5L,ELECTRONIC F/INJ,55L,125Kw,5.0,4A,4D SEDAN,RWD,2570mm
14857,BMW,3,E46 18i SPORT,2005.0,54500.0,2.0L,MULTI POINT F/INJ,63L,105Kw,5.0,5M,4D SEDAN,RWD,2725mm
14858,BMW,3,E36 28i,1996.0,83330.0,2.8L,MULTI POINT F/INJ,65L,142Kw,5.0,5A,4D SEDAN,RWD,2700mm
14859,BMW,5,28i,1997.0,96500.0,2.8L,MULTI POINT F/INJ,70L,142Kw,5.0,5AS,4D SEDAN,RWD,2830mm
14860,BMW,3,18i,1997.0,51320.0,1.8L,ELECTRONIC F/INJ,65L,85Kw,5.0,4A,4D SEDAN,RWD,2700mm
14861,BMW,3,18is,1997.0,55100.0,1.9L,MULTI POINT F/INJ,65L,103Kw,5.0,5M,4D SEDAN,RWD,2700mm
14862,BMW,3,E46 18i EXECUTIVE,2001.0,53950.0,2.0L,MULTI POINT F/INJ,63L,105Kw,5.0,5M,4D SEDAN,RWD,2725mm
14863,BMW,X5,E53 3.0i,2001.0,82350.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
14864,BMW,1,E87 20d,2006.0,47800.0,2.0L,DIESEL TURBO F/INJ,51L,115Kw,5.0,6A,5D HATCHBACK,RWD,2660mm
14865,BMW,3,E46 18i EXECUTIVE,2000.0,52070.0,1.9L,MULTI POINT F/INJ,63L,87Kw,5.0,5M,4D SEDAN,RWD,2725mm
14866,BMW,X5,E53 3.0i,2006.0,84000.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
14867,BMW,3,18i,1995.0,49650.0,1.8L,ELECTRONIC F/INJ,65L,85Kw,5.0,5M,4D SEDAN,RWD,2700mm
14870,BMW,3,23Ci,1999.0,73900.0,2.5L,MULTI POINT F/INJ,63L,125Kw,5.0,5M,2D COUPE,RWD,2725mm
14871,BMW,X5,E53 MY06 UPGRADE 3.0d,2006.0,86800.0,3.0L,TURBO CDI,93L,150Kw,5.0,6A,4D WAGON,4WD,2820mm
14872,BMW,3,E46 18i,1999.0,54370.0,1.9L,MULTI POINT F/INJ,63L,87Kw,5.0,5M,4D SEDAN,RWD,2725mm
14873,BMW,3,18is,1996.0,57110.0,1.8L,ELECTRONIC F/INJ,65L,103Kw,5.0,4A,2D COUPE,RWD,2700mm
14874,BMW,3,E46 16ti,2004.0,41750.0,1.8L,MULTI POINT F/INJ,63L,85Kw,5.0,5M,3D HATCHBACK,RWD,2725mm
14875,BMW,3,18i,1989.0,36950.0,1.8L,ELECTRONIC F/INJ,55L,83Kw,5.0,5M,2D SEDAN,RWD,2570mm
14876,BMW,3,18i,1994.0,46500.0,1.8L,ELECTRONIC F/INJ,65L,85Kw,5.0,5M,4D SEDAN,RWD,2700mm
14877,BMW,3,E90 20i,2006.0,53400.0,2.0L,MULTI POINT F/INJ,65L,110Kw,5.0,6AS,4D SEDAN,RWD,2760mm
14878,BMW,5,E39 23i,1996.0,83600.0,2.5L,MULTI POINT F/INJ,70L,125Kw,5.0,5AS,4D SEDAN,RWD,2830mm
14879,BMW,5,E39 30i SPORT,2002.0,101400.0,3.0L,MULTI POINT F/INJ,70L,170Kw,5.0,5AS,4D SEDAN,RWD,2830mm
14880,BMW,5,20i,1991.0,69100.0,2.0L,ELECTRONIC F/INJ,80L,110Kw,5.0,5A,4D SEDAN,RWD,2761mm
14881,BMW,3,18i,1991.0,44300.0,1.8L,ELECTRONIC F/INJ,65L,85Kw,5.0,4A,4D SEDAN,RWD,2700mm
14882,BMW,3,E46 18i,2000.0,48315.0,1.9L,MULTI POINT F/INJ,63L,87Kw,5.0,5M,4D SEDAN,RWD,2725mm
14883,BMW,3,18i,1986.0,38600.0,1.8L,ELECTRONIC F/INJ,58L,77Kw,5.0,5M,4D SEDAN,RWD,2570mm
14884,BMW,3,E36 18is SPORT,1998.0,58950.0,1.9L,MULTI POINT F/INJ,62L,103Kw,5.0,5M,2D COUPE,RWD,2700mm
14885,BMW,7,35iL EXECUTIVE,1988.0,145900.0,3.4L,ELECTRONIC F/INJ,95L,155Kw,5.0,4A,4D SEDAN,RWD,2945mm
14887,BMW,5,25i,1991.0,80200.0,2.5L,ELECTRONIC F/INJ,80L,141Kw,5.0,5M,4D SEDAN,RWD,2761mm
14888,BMW,3,E46 25Ci,2002.0,75000.0,2.5L,MULTI POINT F/INJ,63L,141Kw,5.0,5AS,2D COUPE,RWD,2725mm
14889,BMW,3,E46 16ti,2005.0,40350.0,1.8L,MULTI POINT F/INJ,63L,85Kw,5.0,5M,3D HATCHBACK,RWD,2725mm
14890,BMW,X5,E53 3.0d,2005.0,84300.0,3.0L,TURBO CDI,93L,150Kw,5.0,6A,4D WAGON,4WD,2820mm
14891,DATSUN,FAIRLADY,SPORTS,1964.0,2530.0,1.5L,CARB,43L,63Kw,0.0,4M,2D ROADSTER,RWD,2280mm
14895,DATSUN,180B,SSS,1977.0,6012.0,1.8L,CARB,55L,82Kw,5.0,5M,2D HARDTOP,RWD,2500mm
14896,MAZDA,121,METRO SHADES,2001.0,19050.0,1.5L,ELECTRONIC F/INJ,43L,64Kw,5.0,5M,5D HATCHBACK,FWD,2390mm
14897,MAZDA,121,SHADES,1997.0,14200.0,1.3L,SINGLE POINT F/INJ,40L,54Kw,5.0,5M,4D SEDAN,FWD,2390mm
14899,MAZDA,121,METRO SHADES,2002.0,19240.0,1.5L,ELECTRONIC F/INJ,43L,64Kw,5.0,5M,5D HATCHBACK,FWD,2390mm
14900,MAZDA,121,DELUXE,1987.0,12250.0,1.3L,CARB,38L,46Kw,5.0,5M,3D HATCHBACK,FWD,2295mm
14901,MAZDA,121,METRO SHADES,1999.0,19590.0,1.5L,ELECTRONIC F/INJ,40L,64Kw,5.0,4A,5D HATCHBACK,FWD,2390mm
14902,VOLKSWAGEN,TRANSPORTER,T5 MY08 CREWVAN SWB,2008.0,42990.0,2.5L,DIESEL TURBO F/INJ,80L,96Kw,5.0,6ATip,VAN,FWD,3000mm
14903,VOLKSWAGEN,JETTA,1KM 2.0 TDI,2006.0,35490.0,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5.0,6M,4D SEDAN,FWD,2578mm
14904,VOLKSWAGEN,TRANSPORTER,T5 SWB,2005.0,43400.0,2.5L,DIESEL TURBO F/INJ,80L,96Kw,2.0,6ATip,VAN,FWD,3000mm
14905,VOLKSWAGEN,POLO,9N MY07 UPGRADE CLUB,2007.0,16990.0,1.4L,MULTI POINT F/INJ,45L,59Kw,5.0,5M,3D HATCHBACK,FWD,2465mm
14906,VOLKSWAGEN,JETTA,1KM 2.0 TURBO FSI,2006.0,39990.0,2.0L,TURBO MPFI,55L,147Kw,5.0,6ADSG,4D SEDAN,FWD,2578mm
14907,VOLKSWAGEN,MULTIVAN,T5 HIGHLINE,2006.0,72990.0,2.5L,DIESEL TURBO F/INJ,80L,128Kw,7.0,6ATip,4D VAN,FWD,3000mm
14908,VOLKSWAGEN,JETTA,1KM 2.0 TURBO FSI,2007.0,39990.0,2.0L,TURBO MPFI,55L,147Kw,5.0,6ADSG,4D SEDAN,FWD,2578mm
14909,VOLKSWAGEN,GOLF,1K GTi,2007.0,39990.0,2.0L,TURBO MPFI,55L,147Kw,5.0,6M,5D HATCHBACK,FWD,2578mm
14910,VOLKSWAGEN,GOLF,GL,2001.0,25990.0,1.6L,MULTI POINT F/INJ,55L,74Kw,5.0,5M,5D HATCHBACK,FWD,2511mm
14911,VOLKSWAGEN,GOLF,1K 1.9 TDI COMFORTLINE,2005.0,32290.0,1.9L,DIESEL TURBO F/INJ,55L,77Kw,5.0,6ADSG,5D HATCHBACK,FWD,2578mm
14912,VOLKSWAGEN,JETTA,1KM 2.0 FSI,2007.0,35290.0,2.0L,MULTI POINT F/INJ,55L,110Kw,5.0,6ATip,4D SEDAN,FWD,2578mm
14914,VOLKSWAGEN,GOLF,1K GT,2007.0,37290.0,1.4L,S/C & T/C MPFI,55L,125Kw,5.0,6ADSG,5D HATCHBACK,FWD,2578mm
14915,VOLKSWAGEN,GOLF,GL,1995.0,30490.0,2.0L,MULTI POINT F/INJ,55L,85Kw,5.0,5M,5D HATCHBACK,FWD,2475mm
14920,VOLKSWAGEN,JETTA,1KM 2.0 TDI,2007.0,37990.0,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5.0,6ADSG,4D SEDAN,FWD,2578mm
14921,VOLKSWAGEN,GOLF,1K 2.0 FSI COMFORTLINE,2005.0,32290.0,2.0L,ELECTRONIC F/INJ,55L,110Kw,5.0,6ATip,5D HATCHBACK,FWD,2578mm
14922,VOLKSWAGEN,GOLF,1K 2.0 TDI COMFORTLINE,2007.0,32490.0,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5.0,6M,5D HATCHBACK,FWD,2578mm
14923,VOLKSWAGEN,PASSAT,3B 1.8T,2002.0,49800.0,1.8L,TURBO MPFI,62L,110Kw,5.0,5ATip,4D WAGON,FWD,2703mm
14924,VOLKSWAGEN,GOLF,1K 2.0 FSI SPORTLINE,2006.0,32990.0,2.0L,ELECTRONIC F/INJ,55L,110Kw,5.0,6M,5D HATCHBACK,FWD,2578mm
14925,VOLKSWAGEN,GOLF,GLE,1999.0,34990.0,2.0L,MULTI POINT F/INJ,55L,85Kw,5.0,5M,5D HATCHBACK,FWD,2511mm
14926,VOLKSWAGEN,GOLF,GL,1998.0,31980.0,1.6L,MULTI POINT F/INJ,55L,74Kw,5.0,4A,5D HATCHBACK,FWD,2511mm
14927,VOLKSWAGEN,MULTIVAN,T5 COMFORTLINE 4MOTION,2006.0,60990.0,2.5L,DIESEL TURBO F/INJ,80L,128Kw,7.0,6M,4D VAN,4WD,3000mm
14928,VOLKSWAGEN,POLO,9N S,2002.0,21800.0,1.4L,MULTI POINT F/INJ,45L,55Kw,5.0,5M,5D HATCHBACK,FWD,2460mm
14929,VOLKSWAGEN,TOUAREG,7L R5 TDi LUXURY,2006.0,78600.0,2.5L,DIESEL TURBO F/INJ,100L,128Kw,5.0,6ATip,4D WAGON,4WD,2855mm
14930,VOLKSWAGEN,CADDY,2K LIFE,2006.0,34990.0,1.9L,DIESEL TURBO F/INJ,60L,77Kw,5.0,6ADSG,4D WAGON,FWD,2682mm
14940,VOLKSWAGEN,GOLF,1K 2.0 TDI COMFORTLINE,2004.0,32490.0,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5.0,6M,5D HATCHBACK,FWD,2578mm
14941,VOLKSWAGEN,BORA,1J 2.0,2001.0,36350.0,2.0L,MULTI POINT F/INJ,55L,85Kw,5.0,5M,4D SEDAN,FWD,2500mm
14942,VOLKSWAGEN,POLO,9N MY06 UPGRADE CLUB,2006.0,16990.0,1.4L,MULTI POINT F/INJ,45L,55Kw,5.0,5M,3D HATCHBACK,FWD,2465mm
14943,VOLKSWAGEN,CADDY,2K 1.9 TDi,2006.0,24990.0,1.9L,DIESEL TURBO F/INJ,60L,77Kw,2.0,5M,VAN,FWD,2682mm
14944,VOLKSWAGEN,POLO,9N,2003.0,19800.0,1.4L,MULTI POINT F/INJ,45L,55Kw,5.0,5M,3D HATCHBACK,FWD,2460mm
14945,VOLKSWAGEN,GOLF,1.6 GENERATION,2004.0,25990.0,1.6L,MULTI POINT F/INJ,55L,75Kw,5.0,5M,5D HATCHBACK,FWD,2511mm
14946,VOLKSWAGEN,POLO,9N MY07 UPGRADE GTi,2007.0,26990.0,1.8L,TURBO MPFI,45L,110Kw,5.0,5M,3D HATCHBACK,FWD,2466mm
14947,VOLKSWAGEN,GOLF,GL,1999.0,31190.0,1.6L,MULTI POINT F/INJ,55L,74Kw,5.0,4A,5D HATCHBACK,FWD,2511mm
14948,VOLKSWAGEN,GOLF,1K 2.0 TDI COMFORTLINE,2006.0,34790.0,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5.0,6ADSG,5D HATCHBACK,FWD,2578mm
14949,VOLKSWAGEN,GOLF,GL,2000.0,25990.0,1.6L,MULTI POINT F/INJ,55L,74Kw,5.0,5M,5D HATCHBACK,FWD,2511mm
14950,VOLKSWAGEN,GOLF,1K 1.6 TRENDLINE,2005.0,25490.0,1.6L,MULTI POINT F/INJ,55L,75Kw,5.0,5M,5D HATCHBACK,FWD,2578mm
14960,VOLKSWAGEN,PASSAT,3C 2.0T FSI,2006.0,44990.0,2.0L,TURBO MPFI,70L,147Kw,5.0,6ATip,4D SEDAN,FWD,2709mm
14961,VOLKSWAGEN,TOUAREG,7L R5 TDi LUXURY,2005.0,78600.0,2.5L,DIESEL TURBO F/INJ,100L,128Kw,5.0,6ATip,4D WAGON,4WD,2855mm
14962,VOLKSWAGEN,PASSAT,3C 3.2 V6 FSI,2006.0,54990.0,3.2L,MULTI POINT F/INJ,70L,184Kw,5.0,6ADSG,4D SEDAN,AWD,2709mm
14964,VOLKSWAGEN,GOLF,2.0 S,2002.0,29490.0,2.0L,MULTI POINT F/INJ,55L,85Kw,5.0,5M,5D HATCHBACK,FWD,2511mm
14965,VOLKSWAGEN,CARAVELLE,V6,2003.0,59990.0,2.8L,MULTI POINT F/INJ,80L,150Kw,8.0,4A,4D WAGON,FWD,2920mm
14966,VOLKSWAGEN,GOLF,2.0 GENERATION,2004.0,29490.0,2.0L,MULTI POINT F/INJ,55L,85Kw,5.0,4A,5D HATCHBACK,FWD,2511mm
14967,VOLKSWAGEN,POLO,OPEN AIR,1999.0,21490.0,1.6L,MULTI POINT F/INJ,45L,55Kw,5.0,5M,5D HATCHBACK,FWD,2400mm
14969,VOLKSWAGEN,1600,SUPER BUG L,1975.0,3798.0,1.6L,CARB,42L,37Kw,4.0,4M,2D SEDAN,RWD,2420mm
14984,ALFA ROMEO,GTV,2,1999.0,61990.0,2.0L,MULTI POINT F/INJ,70L,114Kw,4.0,5M,2D COUPE,FWD,2540mm
14985,ALFA ROMEO,156,V6 24V,2002.0,57500.0,2.5L,MULTI POINT F/INJ,63L,140Kw,5.0,6M,4D SEDAN,FWD,2595mm
15000,ALFA ROMEO,147,GTA MONZA,2005.0,59990.0,3.2L,MULTI POINT F/INJ,63L,184Kw,5.0,6M,3D HATCHBACK,FWD,2546mm
15001,ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999.0,49950.0,2.0L,MULTI POINT F/INJ,63L,114Kw,5.0,5MSel,4D SEDAN,FWD,2595mm
15002,ALFA ROMEO,147,2.0 TWIN SPARK,2003.0,39500.0,2.0L,MULTI POINT F/INJ,60L,110Kw,5.0,5M,5D HATCHBACK,FWD,2546mm
15003,MERCEDES-BENZ,SLK,R171 200K,2004.0,86900.0,1.8L,SUPERCHARGED MPFI,70L,120Kw,2.0,5ATS,2D CONVERTIBLE,RWD,2430mm
15004,MERCEDES-BENZ,ML,W163 270 CDI 4x4,2002.0,69474.0,2.7L,TURBO CDI,83L,120Kw,5.0,5ATS,4D WAGON,4WD,2820mm
15005,MERCEDES-BENZ,ML,W163 320 LUXURY 4x4,2002.0,77274.0,3.2L,MULTI POINT F/INJ,83L,160Kw,5.0,5ATS,4D WAGON,4WD,2820mm
15006,MERCEDES-BENZ,C180,W203 KOMPRESSOR AVANTGARDE,2002.0,61400.0,1.8L,SUPERCHARGED MPFI,70L,105Kw,5.0,5ATS,4D SEDAN,RWD,2715mm
15007,MERCEDES-BENZ,ML,320 LUXURY 4x4,2000.0,72900.0,3.2L,MULTI POINT F/INJ,70L,160Kw,5.0,5ATS,4D WAGON,4WD,2820mm
15008,MERCEDES-BENZ,SLK230,KOMPRESSOR,2000.0,95380.0,2.3L,SUPERCHARGED MPFI,53L,142Kw,2.0,5A,2D CONVERTIBLE,RWD,2400mm
15009,MERCEDES-BENZ,ML,W163 500 LUXURY 4x4,2004.0,99900.0,5.0L,MULTI POINT F/INJ,83L,215Kw,5.0,5ATS,4D WAGON,4WD,2820mm
15010,MERCEDES-BENZ,300,TE,1991.0,124500.0,3.0L,ELECTRONIC F/INJ,70L,135Kw,7.0,4A,4D WAGON,RWD,2800mm
15011,MERCEDES-BENZ,C200,W202 ELEGANCE,2000.0,64580.0,2.0L,MULTI POINT F/INJ,62L,100Kw,5.0,5A,4D SEDAN,RWD,2690mm
15020,MERCEDES-BENZ,280,W126 SE,1982.0,55979.0,2.7L,ELECTRONIC F/INJ,90L,125Kw,5.0,4A,4D SEDAN,RWD,2935mm
15022,MERCEDES-BENZ,ML,320 LUXURY 4x4,1999.0,73400.0,3.2L,MULTI POINT F/INJ,70L,160Kw,5.0,5ATS,4D WAGON,4WD,2820mm
15023,MERCEDES-BENZ,ML,W163 270 CDI LUXURY 4x4,2003.0,77274.0,2.7L,TURBO CDI,83L,120Kw,5.0,5ATS,4D WAGON,4WD,2820mm
15024,MERCEDES-BENZ,E280,W210 ELEGANCE,1999.0,112400.0,2.8L,MULTI POINT F/INJ,80L,150Kw,5.0,5ASeq,4D SEDAN,RWD,2833mm
15025,MERCEDES-BENZ,VITO,115CDI COMPACT CREW CAB,2005.0,48380.0,2.1L,DIESEL TURBO F/INJ,75L,110Kw,5.0,5A,5D VAN,RWD,3200mm
15026,MERCEDES-BENZ,180,E LIMITED EDITION,1993.0,47115.0,1.8L,ELECTRONIC F/INJ,55L,82Kw,5.0,4A,4D SEDAN,RWD,2665mm
15027,MERCEDES-BENZ,A160,AVANTGARDE,1999.0,41400.0,1.6L,MULTI POINT F/INJ,54L,75Kw,5.0,5MSeq,5D HATCHBACK,FWD,2423mm
15028,MERCEDES-BENZ,ML,270 CDI 4x4,2001.0,64900.0,2.7L,TURBO CDI,70L,120Kw,5.0,5ATS,4D WAGON,4WD,2820mm
15029,MERCEDES-BENZ,A170,W169 ELEGANCE,2006.0,42400.0,1.7L,MULTI POINT F/INJ,54L,85Kw,5.0,CVT7,5D HATCHBACK,FWD,2568mm
15030,MERCEDES-BENZ,300,W124 E,1986.0,79296.0,3.0L,ELECTRONIC F/INJ,70L,135Kw,5.0,4A,4D SEDAN,RWD,2800mm
15040,MERCEDES-BENZ,230,W124 E,1988.0,87100.0,2.3L,ELECTRONIC F/INJ,70L,97Kw,5.0,4A,4D SEDAN,RWD,2800mm
15041,MERCEDES-BENZ,180,E LIMITED EDITION,1992.0,45690.0,1.8L,ELECTRONIC F/INJ,55L,82Kw,5.0,4A,4D SEDAN,RWD,2665mm
15042,MERCEDES-BENZ,E55,211 MY06 UPGRADE AMG,2006.0,225600.0,5.4L,SUPERCHARGED MPFI,80L,350Kw,5.0,5ATSh,4D SEDAN,RWD,2854mm
15043,MERCEDES-BENZ,380,SEL,1982.0,68795.0,3.8L,ELECTRONIC F/INJ,90L,145Kw,5.0,4A,4D SEDAN,RWD,3075mm
15044,MERCEDES-BENZ,A190,W168 LWB ELEGANCE,2004.0,42900.0,1.9L,MULTI POINT F/INJ,54L,92Kw,5.0,5MSeq,5D HATCHBACK,FWD,2593mm
