Car_ID,Car_MakeName,Car_Model,Car_Series,Car_SeriesYear,Car_PriceNew,Car_EngineSize,Car_FuelSystem,Car_TankCapacity,Car_Power,Car_SeatingCapacity,Car_StandardTransmission,Car_BodyType,Car_Drive,Car_Wheelbase
15045,MERCEDES-BENZ,180,E LIMITED EDITION,1994.0,47115.0,1.8L,ELECTRONIC F/INJ,55L,82Kw,5.0,4A,4D SEDAN,RWD,2665mm
15046,MERCEDES-BENZ,A190,W168 AVANTGARDE,2001.0,41230.0,1.9L,MULTI POINT F/INJ,54L,92Kw,5.0,5MSeq,5D HATCHBACK,FWD,2423mm
15047,MERCEDES-BENZ,CLK230,KOMP ELEGANCE,2000.0,111580.0,2.3L,SUPERCHARGED MPFI,62L,142Kw,4.0,5A,2D CABRIOLET,RWD,2690mm
15048,MERCEDES-BENZ,A190,W168 AVANTGARDE,2000.0,41230.0,1.9L,MULTI POINT F/INJ,54L,92Kw,5.0,5MSeq,5D HATCHBACK,FWD,2423mm
15049,MERCEDES-BENZ,ML,W163 500 LUXURY 4x4,2001.0,98500.0,5.0L,MULTI POINT F/INJ,83L,215Kw,5.0,5ATS,4D WAGON,4WD,2820mm
15050,MERCEDES-BENZ,E500,211 AVANTGARDE,2002.0,153900.0,5.0L,MULTI POINT F/INJ,89L,225Kw,5.0,5ATSh,4D SEDAN,RWD,2854mm
15063,RENAULT,CLIO,SPORT,2002.0,33990.0,2.0L,MULTI POINT F/INJ,50L,124Kw,5.0,5M,3D HATCHBACK,FWD,2472mm
15066,RENAULT,CLIO,CAMPUS,2006.0,18990.0,1.4L,MULTI POINT F/INJ,50L,72Kw,5.0,5M,5D HATCHBACK,FWD,2472mm
15068,RENAULT,SCENIC,PRIVILEGE,2003.0,37990.0,2.0L,MULTI POINT F/INJ,60L,101Kw,5.0,4A,5D WAGON,FWD,2580mm
15080,RENAULT,19,RT,1995.0,26790.0,1.7L,MULTI POINT F/INJ,55L,68Kw,5.0,5M,5D HATCHBACK,FWD,2540mm
15081,RENAULT,MEGANE,PRIVILEGE,2004.0,35990.0,2.0L,MULTI POINT F/INJ,60L,98Kw,5.0,4A,4D SEDAN,FWD,2686mm
15082,RENAULT,MEGANE,EXPRESSION,2002.0,41490.0,1.6L,MULTI POINT F/INJ,60L,79Kw,4.0,5M,2D CABRIOLET,FWD,2461mm
15083,VOLVO,S60,05 UPGRADE 2.4 20V SE,2006.0,56950.0,2.4L,MULTI POINT F/INJ,70L,125Kw,5.0,5A,4D SEDAN,FWD,2715mm
15084,VOLVO,V50,MY08 D5,2008.0,47950.0,2.4L,DIESEL TURBO F/INJ,60L,132Kw,5.0,5AG,4D WAGON,FWD,2640mm
15085,VOLVO,7,40 TURBO,1989.0,65900.0,2.3L,TURBO EFI,82L,119Kw,5.0,4A,4D SEDAN,RWD,2770mm
15087,VOLVO,8,50 GLE,1992.0,45690.0,2.4L,ELECTRONIC F/INJ,73L,103Kw,5.0,4A,4D SEDAN,FWD,2665mm
15088,VOLVO,XC70,05 UPGRADE II LIFESTYLE EDITION LE,2005.0,64450.0,2.5L,TURBO MPFI,70L,154Kw,5.0,5AG,4D WAGON,AWD,2761mm
15089,VOLVO,V50,MY07 2.4 LE,2007.0,47950.0,2.4L,MULTI POINT F/INJ,62L,125Kw,5.0,5AG,4D WAGON,FWD,2640mm
15100,VOLVO,S40,MY2003 2.0 SE,2003.0,47950.0,1.9L,MULTI POINT F/INJ,60L,100Kw,5.0,5A,4D SEDAN,FWD,2562mm
15101,VOLVO,S40,MY2001 2.0 SE,2001.0,47950.0,1.9L,MULTI POINT F/INJ,60L,100Kw,5.0,5A,4D SEDAN,FWD,2562mm
15102,VOLVO,8,50 GLE,1994.0,47950.0,2.4L,ELECTRONIC F/INJ,73L,103Kw,5.0,4A,4D SEDAN,FWD,2665mm
15103,VOLVO,S80,T6 SE,2001.0,98950.0,2.8L,TWIN TURBO MPFI,80L,200Kw,5.0,4AG,4D SEDAN,RWD,2791mm
15104,VOLVO,8,50 SE,1997.0,59950.0,2.4L,MULTI POINT F/INJ,73L,125Kw,5.0,4A,5D WAGON,FWD,2665mm
15105,VOLVO,V40,2,1997.0,45950.0,1.9L,MULTI POINT F/INJ,60L,103Kw,5.0,4A,5D WAGON,FWD,2550mm
15106,VOLVO,S40,2,1997.0,44950.0,1.9L,MULTI POINT F/INJ,60L,103Kw,5.0,4A,4D SEDAN,FWD,2550mm
15107,VOLVO,XC90,MY06 LIFESTYLE EDITION LE,2006.0,69950.0,2.5L,TURBO MPFI,72L,154Kw,7.0,5AG,4D WAGON,AWD,2857mm
15108,VOLVO,S40,T4,1998.0,53450.0,1.9L,TURBO MPFI,60L,147Kw,5.0,5M,4D SEDAN,FWD,2550mm
15109,VOLVO,4,40 GLT,1994.0,40950.0,2.0L,ELECTRONIC F/INJ,60L,80Kw,5.0,4A,4D HATCHBACK,FWD,2503mm
15110,VOLVO,2,44 GL,1979.0,11220.0,2.1L,FUEL INJECTED,60L,91Kw,5.0,3A,4D SEDAN,RWD,2640mm
15119,VOLVO,4,40 GLT,1996.0,45500.0,2.0L,ELECTRONIC F/INJ,60L,80Kw,5.0,4A,4D HATCHBACK,FWD,2503mm
15121,VOLVO,S40,MY06 T5 AWD,2006.0,54950.0,2.5L,TURBO MPFI,57L,162Kw,5.0,5AG,4D SEDAN,AWD,2640mm
15122,NISSAN,200,S15 SX SPEC S GT,2002.0,42990.0,2.0L,TURBO MPFI,65L,147Kw,4.0,6M,2D COUPE,RWD,2525mm
15123,NISSAN,200,SX SPORTS LIMITED,1994.0,38500.0,2.0L,TURBO MPFI,65L,147Kw,4.0,5M,2D COUPE,RWD,2525mm
15124,NISSAN,200,SX SPORTS,1996.0,44510.0,2.0L,TURBO MPFI,65L,147Kw,4.0,5M,2D COUPE,RWD,2525mm
15125,NISSAN,200,S15 SX SPEC S,2002.0,40990.0,2.0L,TURBO MPFI,65L,147Kw,4.0,6M,2D COUPE,RWD,2525mm
15126,NISSAN,200,S15 SX SPEC R GT,2002.0,46490.0,2.0L,TURBO MPFI,65L,147Kw,4.0,6M,2D COUPE,RWD,2525mm
15127,NISSAN,200,SX SPORTS LIMITED,1998.0,39990.0,2.0L,TURBO MPFI,65L,147Kw,4.0,5M,2D COUPE,RWD,2525mm
15128,NISSAN,200,S15 SX SPEC S,2001.0,40990.0,2.0L,TURBO MPFI,65L,147Kw,4.0,6M,2D COUPE,RWD,2525mm
15129,NISSAN,200,SX LUXURY,1998.0,49995.0,2.0L,TURBO MPFI,65L,147Kw,4.0,5M,2D COUPE,RWD,2525mm
15130,PEUGEOT,205,GTi,1990.0,33750.0,1.9L,ELECTRONIC F/INJ,50L,75Kw,5.0,5M,3D HATCHBACK,FWD,2420mm
15140,PEUGEOT,406,D8 ST,1997.0,39995.0,2.0L,MULTI POINT F/INJ,70L,100Kw,5.0,5M,4D SEDAN,FWD,2700mm
15142,PEUGEOT,405,Mi16,1993.0,41995.0,2.0L,ELECTRONIC F/INJ,70L,112Kw,5.0,5M,4D SEDAN,FWD,2669mm
15143,PEUGEOT,306,XT,2000.0,29490.0,2.0L,MULTI POINT F/INJ,60L,100Kw,5.0,5M,5D HATCHBACK,FWD,2580mm
15144,PEUGEOT,206,XT,2001.0,22990.0,1.6L,MULTI POINT F/INJ,50L,67Kw,5.0,5M,5D HATCHBACK,FWD,2442mm
15146,PEUGEOT,206,GTi,2004.0,29990.0,2.0L,MULTI POINT F/INJ,50L,102Kw,5.0,5M,3D HATCHBACK,FWD,2442mm
15147,PEUGEOT,406,D9,2004.0,69550.0,2.9L,MULTI POINT F/INJ,70L,157Kw,4.0,5M,2D COUPE,FWD,2700mm
15148,PEUGEOT,206,CC,2005.0,32990.0,1.6L,MULTI POINT F/INJ,50L,80Kw,4.0,5M,2D CABRIOLET,FWD,2442mm
15149,PEUGEOT,307,XSE,2003.0,31790.0,2.0L,MULTI POINT F/INJ,60L,100Kw,5.0,5M,5D HATCHBACK,FWD,2608mm
15150,PEUGEOT,206,XR,2002.0,19990.0,1.4L,MULTI POINT F/INJ,50L,55Kw,5.0,5M,5D HATCHBACK,FWD,2442mm
15160,PEUGEOT,405,D60 SRI,1992.0,34995.0,1.9L,ELECTRONIC F/INJ,70L,80Kw,5.0,5M,4D SEDAN,FWD,2669mm
15161,PEUGEOT,307,MY06 UPGRADE XSE HDi 2.0,2006.0,32290.0,2.0L,DIESEL TURBO F/INJ,60L,100Kw,5.0,6M,5D HATCHBACK,FWD,2608mm
15162,PEUGEOT,206,XT,2000.0,22450.0,1.6L,MULTI POINT F/INJ,50L,67Kw,5.0,5M,5D HATCHBACK,FWD,2442mm
15163,PEUGEOT,307,MY06 UPGRADE SPORT 2.0,2005.0,37990.0,2.0L,MULTI POINT F/INJ,60L,130Kw,5.0,5M,5D HATCHBACK,FWD,2608mm
15165,PEUGEOT,206,CC,2006.0,34990.0,1.6L,MULTI POINT F/INJ,50L,80Kw,4.0,4ATip,2D CABRIOLET,FWD,2442mm
15166,PEUGEOT,307,XSE,2004.0,33990.0,2.0L,MULTI POINT F/INJ,60L,100Kw,5.0,4ATip,5D HATCHBACK,FWD,2608mm
15167,PEUGEOT,206,C,2006.0,22990.0,1.6L,MULTI POINT F/INJ,50L,82Kw,5.0,5M,5D HATCHBACK,FWD,2442mm
15168,PEUGEOT,206,XR,2004.0,19990.0,1.4L,MULTI POINT F/INJ,50L,55Kw,5.0,5M,5D HATCHBACK,FWD,2442mm
15169,PEUGEOT,307,MY06 UPGRADE XSE HDi 2.0 TOURING,2006.0,33990.0,2.0L,DIESEL TURBO F/INJ,60L,100Kw,5.0,6M,4D WAGON,FWD,2708mm
15181,PEUGEOT,206,XR,2003.0,21990.0,1.6L,MULTI POINT F/INJ,50L,82Kw,5.0,5M,3D HATCHBACK,FWD,2442mm
15184,EUNOS,800,M,1996.0,85165.0,2.3L,MILLER CYCLE,68L,149Kw,5.0,4A,4D SEDAN,FWD,2750mm
15186,EUNOS,30,X SPORT,1996.0,37155.0,1.8L,ELECTRONIC F/INJ,50L,99Kw,4.0,5M,2D COUPE,FWD,2455mm
15199,CHRYSLER,VALIANT,CM GLX,1979.0,8014.0,4.3L,CARB,79L,120Kw,5.0,3A,4D SEDAN,RWD,2820mm
15200,CHRYSLER,300C,LE MY06 CRD,2006.0,57990.0,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5.0,5A,4D SEDAN,RWD,3050mm
15201,CHRYSLER,VOYAGER,RG SE,2002.0,52590.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,2787mm
15202,CHRYSLER,CROSSFIRE,ZH ROADSTER,2005.0,75990.0,3.2L,MULTI POINT F/INJ,60L,160Kw,2.0,5ASeq,2D CONVERTIBLE,RWD,2400mm
15203,CHRYSLER,VOYAGER,GS SE,1999.0,48200.0,3.3L,MULTI POINT F/INJ,76L,116Kw,7.0,4A,4D WAGON,FWD,2878mm
15204,CHRYSLER,PT CRUISER,MY06 CLASSIC,2005.0,31990.0,2.4L,MULTI POINT F/INJ,57L,105Kw,5.0,4A,5D HATCHBACK,FWD,2616mm
15205,CHRYSLER,PT CRUISER,CLASSIC,2001.0,35200.0,2.0L,MULTI POINT F/INJ,57L,104Kw,5.0,5M,5D HATCHBACK,FWD,2616mm
15207,CHRYSLER,300C,LE MY06 SRT8,2006.0,71990.0,6.1L,MULTI POINT F/INJ,71L,317Kw,5.0,5A,4D SEDAN,RWD,3050mm
15208,CHRYSLER,GRAND VOYAGER,RG SE,2004.0,59090.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,3030mm
15209,CHRYSLER,NEON,SE,1997.0,24880.0,2.0L,ELECTRONIC F/INJ,47L,98Kw,5.0,3A,4D SEDAN,FWD,2642mm
15210,CHRYSLER,PT CRUISER,CLASSIC,2004.0,32490.0,2.0L,MULTI POINT F/INJ,57L,104Kw,5.0,4A,5D HATCHBACK,FWD,2616mm
15220,CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004.0,62980.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,3030mm
15221,CHRYSLER,PT CRUISER,LIMITED,2004.0,38490.0,2.0L,MULTI POINT F/INJ,57L,104Kw,5.0,4A,5D HATCHBACK,FWD,2616mm
15222,CHRYSLER,VOYAGER,GS SE,2001.0,46900.0,3.3L,MULTI POINT F/INJ,76L,116Kw,7.0,4A,4D WAGON,FWD,2878mm
15223,MAZDA,323,PROTEGE,1999.0,20990.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,4D SEDAN,FWD,2610mm
15224,MAZDA,323,ASTINA,1997.0,35700.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
15225,MAZDA,323,ASTINA SHADES,2001.0,20490.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
15226,MAZDA,323,DELUXE,1983.0,8835.0,1.5L,CARB,45L,54Kw,4.0,5M,4D WAGON,RWD,2315mm
15227,MAZDA,323,PROTEGE SHADES,2000.0,19715.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,4D SEDAN,FWD,2610mm
15228,MAZDA,323,PROTEGE,1997.0,22915.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,4D SEDAN,FWD,2605mm
15229,MAZDA,323,ASTINA,1995.0,31050.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,5D HATCHBACK,FWD,2605mm
15230,MAZDA,323,PROTEGE,1998.0,22915.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,4D SEDAN,FWD,2605mm
15240,MAZDA,323,PROTEGE,2000.0,19715.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,4D SEDAN,FWD,2610mm
15241,MAZDA,323,ASTINA,1993.0,25715.0,1.8L,MULTI POINT F/INJ,55L,76Kw,5.0,5M,5D HATCHBACK,FWD,2500mm
15242,MAZDA,323,ASTINA SHADES,2000.0,19715.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
15243,MAZDA,323,ASTINA,1996.0,38270.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
15244,MAZDA,323,ASTINA,1998.0,28480.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,5D HATCHBACK,FWD,2605mm
15245,MAZDA,323,SUPER DELUXE,1989.0,20210.0,1.6L,MULTI POINT F/INJ,48L,61Kw,5.0,4A,5D HATCHBACK,FWD,2400mm
15246,MAZDA,323,PROTEGE,2003.0,21840.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,4D SEDAN,FWD,2610mm
15247,MAZDA,323,ASTINA,2003.0,21840.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,5D HATCHBACK,FWD,2610mm
15248,MAZDA,323,SUPER DELUXE,1988.0,19390.0,1.6L,CARB,48L,53Kw,5.0,3A,5D HATCHBACK,FWD,2400mm
15249,MAZDA,323,ASTINA SHADES,1998.0,26990.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
15250,MAZDA,323,ASTINA SP,1994.0,30085.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,5D HATCHBACK,FWD,2500mm
15259,MAZDA,323,LIMITED,1985.0,15826.0,1.6L,MULTI POINT F/INJ,45L,61Kw,5.0,5M,5D HATCHBACK,FWD,2400mm
15260,MAZDA,323,ASTINA SP20,2002.0,29180.0,2.0L,MULTI POINT F/INJ,55L,98Kw,5.0,5M,5D HATCHBACK,FWD,2610mm
15261,MAZDA,323,PROTEGE SHADES,2002.0,20695.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,4D SEDAN,FWD,2605mm
15263,MAZDA,323,BJ PROTEGE SHADES,2003.0,19990.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,4D SEDAN,FWD,2610mm
15264,MAZDA,323,PROTEGE SP20,2002.0,26990.0,2.0L,MULTI POINT F/INJ,55L,98Kw,5.0,5M,4D SEDAN,FWD,2610mm
15280,MITSUBISHI,380,DB,2005.0,35990.0,3.8L,MULTI POINT F/INJ,67L,175Kw,5.0,5ASPM,4D SEDAN,FWD,2750mm
15282,TOYOTA,4 RUNNER,DELUXE 4x4,1989.0,28200.0,2.4L,CARB,65L,75Kw,5.0,5M4x4,4D WAGON,4WD,2625mm
15284,TOYOTA,4 RUNNER,RV6 4x4,1992.0,36954.0,3.0L,ELECTRONIC F/INJ,65L,105Kw,5.0,4A4x4,4D WAGON,4WD,2625mm
15297,MAZDA,626,CLASSIC,2000.0,31070.0,2.0L,MULTI POINT F/INJ,64L,93Kw,5.0,5M,5D HATCHBACK,FWD,2610mm
15300,MAZDA,626,ECLIPSE,2002.0,31980.0,2.0L,MULTI POINT F/INJ,64L,93Kw,5.0,4A,4D SEDAN,FWD,2610mm
15301,MAZDA,626,LUXURY,1999.0,37290.0,2.0L,MULTI POINT F/INJ,64L,93Kw,5.0,4A,5D HATCHBACK,FWD,2610mm
15302,MAZDA,626,DELUXE,1994.0,31335.0,2.0L,MULTI POINT F/INJ,60L,85Kw,5.0,4A,4D SEDAN,FWD,2610mm
15303,MAZDA,626,CLASSIC,1998.0,30180.0,2.0L,MULTI POINT F/INJ,64L,93Kw,5.0,5M,4D SEDAN,FWD,2610mm
15304,MAZDA,626,CLASSIC,1999.0,32430.0,2.0L,MULTI POINT F/INJ,64L,93Kw,5.0,4A,4D SEDAN,FWD,2610mm
15305,MAZDA,626,CLASSIC,2001.0,32900.0,2.0L,MULTI POINT F/INJ,64L,93Kw,5.0,4A,5D HATCHBACK,FWD,2610mm
15306,MAZDA,626,LIMITED EDITION,2000.0,30160.0,2.0L,MULTI POINT F/INJ,64L,93Kw,5.0,5M,4D SEDAN,FWD,2610mm
15307,AUDI,A4,B6 2.0,2002.0,50650.0,2.0L,MULTI POINT F/INJ,70L,96Kw,5.0,CVTM,4D SEDAN,FWD,2650mm
15308,AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2005.0,47750.0,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5.0,6ADSG,5D HATCHBACK,FWD,2578mm
15309,AUDI,90,SPORT,1990.0,42245.0,2.3L,ELECTRONIC F/INJ,68L,100Kw,5.0,5M,4D SEDAN,FWD,2546mm
15310,AUDI,A4,B7 2.0,2007.0,50450.0,2.0L,MULTI POINT F/INJ,70L,96Kw,5.0,CVTM,4D SEDAN,FWD,2648mm
15316,AUDI,TT,MY99,1999.0,73000.0,1.8L,TURBO MPFI,55L,132Kw,4.0,5M,2D COUPE,FWD,2419mm
15317,AUDI,A4,1.8 SE 20V,1996.0,51320.0,1.8L,MULTI POINT F/INJ,60L,92Kw,5.0,4A,4D SEDAN,FWD,2617mm
15321,AUDI,A4,B6 2.0 AVANT,2003.0,54250.0,2.0L,MULTI POINT F/INJ,70L,96Kw,5.0,CVTM6,4D WAGON,FWD,2650mm
15322,AUDI,ALLROAD QUATTRO,C5,2001.0,99250.0,2.7L,TWIN TURBO MPFI,70L,184Kw,5.0,5ATip,4D WAGON,AWD,2760mm
15323,AUDI,A3,1.6,2003.0,35400.0,1.6L,MULTI POINT F/INJ,55L,75Kw,5.0,5M,5D HATCHBACK,FWD,2512mm
15324,AUDI,S3,1.8,2000.0,65850.0,1.8L,TURBO MPFI,62L,154Kw,5.0,6M,3D HATCHBACK,AWD,2519mm
15325,AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2006.0,47750.0,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5.0,6ADSG,5D HATCHBACK,FWD,2578mm
15326,AUDI,A3,1.8,1999.0,42450.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,3D HATCHBACK,FWD,2512mm
15327,AUDI,A3,1.8 TURBO,2004.0,44950.0,1.8L,TURBO MPFI,55L,110Kw,5.0,5M,5D HATCHBACK,FWD,2512mm
15328,AUDI,TT,QUATTRO,2004.0,92500.0,1.8L,TURBO MPFI,62L,165Kw,2.0,6M,2D ROADSTER,AWD,2429mm
15329,AUDI,A3,1.8,2002.0,38700.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,5D HATCHBACK,FWD,2512mm
15330,AUDI,A6,4B 2.4 V6,2003.0,80900.0,2.4L,MULTI POINT F/INJ,70L,125Kw,5.0,CVTM6,4D SEDAN,FWD,2749mm
15340,SAAB,9-Mar,MY07 LINEAR SPORT 1.9TiD SPORTCOMBI,2007.0,53400.0,1.9L,TURBO MPFI,58L,110Kw,5.0,5A,4D WAGON,FWD,2675mm
15341,SAAB,9-May,SE,2000.0,67986.0,2.3L,TURBO MPFI,75L,125Kw,5.0,4A,4D SEDAN,FWD,2703mm
15342,SAAB,9-Mar,MY04 ARC 2.0T,2004.0,56400.0,2.0L,TURBO MPFI,62L,129Kw,5.0,5A,4D SEDAN,FWD,2675mm
15343,SAAB,9-Mar,MY02 AERO,2002.0,64575.0,2.0L,TURBO MPFI,68L,151Kw,5.0,4A,5D HATCHBACK,FWD,2605mm
15344,SAAB,9-May,MY04 AERO,2004.0,84900.0,2.3L,TURBO MPFI,75L,184Kw,5.0,5AST,4D SEDAN,FWD,2703mm
15345,SAAB,900,SE 2.5 V6,1996.0,63900.0,2.5L,MULTI POINT F/INJ,68L,125Kw,5.0,4A,5D HATCHBACK,FWD,2600mm
15346,SAAB,9-Mar,MY03 TURBO 2.0t LTD ED,2003.0,73000.0,2.0L,TURBO MPFI,68L,110Kw,5.0,4A,2D CONVERTIBLE,FWD,2605mm
15347,SAAB,9000,CS ANNIVERSARY,1998.0,54900.0,2.3L,TURBO EFI,66L,125Kw,5.0,4A,4D HATCHBACK,FWD,2672mm
15348,SAAB,900,S 2.5 V6,1994.0,45900.0,2.5L,MULTI POINT F/INJ,68L,125Kw,5.0,5M,5D HATCHBACK,FWD,2600mm
15349,SAAB,9-May,MY01 S,2001.0,64000.0,2.3L,TURBO MPFI,75L,136Kw,5.0,4A,4D SEDAN,FWD,2703mm
15350,SAAB,9-Mar,MY05 AERO,2005.0,93000.0,2.0L,TURBO MPFI,62L,155Kw,4.0,5ASEN,2D CONVERTIBLE,FWD,2675mm
15357,SAAB,9000,CSE,1994.0,79200.0,2.3L,TURBO EFI,66L,147Kw,5.0,4A,4D HATCHBACK,FWD,2672mm
15360,SAAB,9-Mar,AERO,2000.0,80887.0,2.0L,TURBO MPFI,64L,158Kw,5.0,5M,2D CONVERTIBLE,FWD,2605mm
15361,SAAB,9-Mar,S,2001.0,63885.0,2.0L,TURBO MPFI,68L,113Kw,4.0,5M,2D CONVERTIBLE,FWD,2605mm
15362,SAAB,9-Mar,MY04 AERO 2.0t,2004.0,67900.0,2.0L,TURBO MPFI,62L,155Kw,5.0,6M,4D SEDAN,FWD,2675mm
15363,SAAB,9000,CS,1997.0,52000.0,2.3L,TURBO EFI,66L,125Kw,5.0,4A,4D HATCHBACK,FWD,2672mm
15364,SAAB,9000,CS,1996.0,50400.0,2.3L,TURBO EFI,66L,125Kw,5.0,4A,4D HATCHBACK,FWD,2672mm
15365,SAAB,9-Mar,S,2000.0,65985.0,2.0L,TURBO MPFI,68L,113Kw,4.0,4A,2D CONVERTIBLE,FWD,2605mm
15366,SAAB,9-Mar,SE,1999.0,62000.0,2.0L,TURBO MPFI,68L,136Kw,5.0,4A,5D SEDAN,FWD,2605mm
15367,SAAB,9000,CD 16,1993.0,46990.0,2.3L,ELECTRONIC F/INJ,66L,108Kw,5.0,4A,4D SEDAN,FWD,2672mm
15368,MAZDA,929,DELUXE,1987.0,23010.0,2.0L,MULTI POINT F/INJ,60L,70Kw,5.0,5M,4D SEDAN,RWD,2615mm
15369,MAZDA,929,LUXURY,1986.0,29600.0,2.0L,MULTI POINT F/INJ,60L,70Kw,5.0,4A,2D HARDTOP,RWD,2615mm
15400,HONDA,ACCORD,40 VTi,2005.0,29990.0,2.4L,MULTI POINT F/INJ,65L,118Kw,5.0,5A,4D SEDAN,FWD,2740mm
